Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
Boston Celtics,19,16,3,0.842,48.3,108.8,39.3,83.8,46.9,14.5,40.2,36,15.7,19.3,81.2,9.7,33.4,43.1,23.8,11.5,6.3,5.4,2.2,15.7,18,8.1,
Denver Nuggets,12,7,5,0.583,48,102.2,38.9,85.2,45.7,10.5,31.6,33.2,13.8,16.7,83,9.9,32.6,42.5,24.9,12,6.4,4.3,5.1,18,18.3,-2.1,
Oklahoma City Thunder,10,6,4,0.6,48,105.7,39.4,85.8,45.9,12.1,34,35.6,14.8,18.5,80,8.7,32.8,41.5,23.1,11.2,7.8,6.2,5.6,17.7,19.6,6.3,
Minnesota Timberwolves,16,9,7,0.563,48,107.5,38.8,82.9,46.8,11.7,32.6,35.9,18.3,23.6,77.5,10.6,31.8,42.4,23.9,12.2,7.3,4.6,5.1,20.8,20,4.2,
LA Clippers,6,2,4,0.333,48,100.3,35.7,82.2,43.4,11.8,31.7,37.4,17.2,21.7,79.2,11.2,30.8,42,20.2,13.5,6.2,3.2,6.3,22.8,20.2,-6.7,
Dallas Mavericks,22,13,9,0.591,48,106,38.9,83,46.8,11.9,33.1,36,16.3,22.7,71.9,10.9,32.2,43.1,21.1,12.5,6.3,5.3,4.9,19,19.7,2.6,
New York Knicks,13,7,6,0.538,48.4,109.9,39.8,87.8,45.3,11.9,31.8,37.5,18.5,24.4,75.7,13.5,29.4,42.8,22.5,11.2,5.7,5.4,6.3,17.8,21.2,-2.1,
Milwaukee Bucks,6,2,4,0.333,48.8,110.2,40.8,86.3,47.3,11.2,31.5,35.4,17.3,21.2,81.9,9.5,33.2,42.7,22.2,10.7,5.3,3.2,4.5,18.7,19.3,-2.8,
New Orleans Pelicans,4,0,4,0,48,89.5,33.5,84.5,39.6,8.8,32.8,26.7,13.8,16,85.9,12.3,33.3,45.5,19.5,18,8.8,4.5,5.3,20,16,-15.8,
Phoenix Suns,4,0,4,0,48,103.3,35.3,75.8,46.5,9.5,26,36.5,23.3,28,83,7.3,25.3,32.5,19.8,14.3,7.5,4.3,2.8,23.3,24.3,15,
Cleveland Cavaliers,12,5,7,0.417,48,98.1,37.4,83.4,44.9,10.3,32.8,31.5,12.9,17,76,7.7,31.1,38.8,21.3,12.2,6.7,4.6,5,19.8,18.3,-5.6,
Indiana Pacers,17,8,9,0.471,48.6,113.9,44.8,88.4,50.7,12.2,32.9,37.2,12.1,16.2,74.6,10.3,31.1,41.4,29.9,12,5.5,4.8,4.2,20.5,17.4,1.1,
Los Angeles Lakers,5,1,4,0.2,48,106.4,41.6,84.6,49.2,8.8,29.4,29.9,14.4,18.8,76.6,7.4,33.2,40.6,24.4,11,6,4,3.2,16.6,16.4,-2.2,
Orlando Magic,7,3,4,0.429,48,100.3,35.3,84,42,10.3,33.3,30.9,19.4,25.1,77.3,12,33,45,19.3,14.4,8,5.1,6,21.6,21.7,4.4,
Philadelphia 76ers,6,2,4,0.333,48.8,108.2,37,83.3,44.4,13.5,35.7,37.9,20.7,24.7,83.8,10.7,30.5,41.2,23,11.8,5.5,6.3,7.2,21.5,19.2,-0.2,
Miami Heat,5,1,4,0.2,48,92.2,35.6,81.2,43.8,11.2,34,32.9,9.8,12,81.7,5.6,30.6,36.2,21.2,11.6,4.6,1.4,5.2,16.8,15.6,-15.6,
