"Metric","Stage","value"
"Min","Regular",21.4046728971963
"PTS","Regular",10.0934579439252
"FGM","Regular",3.72570093457944
"FGA","Regular",7.71542056074766
"FG.","Regular",47.9593457943925
"X3PM","Regular",1.16355140186916
"X3PA","Regular",3.11168224299066
"X3P.","Regular",33.2504672897196
"FTM","Regular",1.47757009345794
"FTA","Regular",1.8696261682243
"FT.","Regular",74.8504672897196
"OREB","Regular",0.908411214953271
"DREB","Regular",2.94252336448598
"REB","Regular",3.84205607476636
"AST","Regular",2.35280373831776
"TOV","Regular",1.08411214953271
"STL","Regular",0.684579439252336
"BLK","Regular",0.475700934579439
"PF","Regular",1.65
"FP","Regular",20.631308411215
"DD2","Regular",5.27102803738318
"TD3","Regular",0.383177570093458
"Min","Playoff",19.9476635514019
"PTS","Playoff",8.44532710280374
"FGM","Playoff",3.10140186915888
"FGA","Playoff",6.84392523364486
"FG.","Playoff",40.7476635514019
"X3PM","Playoff",0.920560747663551
"X3PA","Playoff",2.70093457943925
"X3P.","Playoff",26.0130841121495
"FTM","Playoff",1.32710280373832
"FTA","Playoff",1.69532710280374
"FT.","Playoff",58.1682242990654
"OREB","Playoff",0.829439252336448
"DREB","Playoff",2.64252336448598
"REB","Playoff",3.46728971962617
"AST","Playoff",1.80794392523365
"TOV","Playoff",0.965887850467289
"STL","Playoff",0.538317757009346
"BLK","Playoff",0.383177570093458
"PF","Playoff",1.59813084112149
"FP","Playoff",17.0859813084112
"DD2","Playoff",0.696261682242991
"TD3","Playoff",0.0560747663551402
